word,aoa,dale_chall,source
picture,4.05,yes,kuperman
pie,3.67,yes,kuperman
pig,3.84,yes,kuperman
pigs,3.84,yes,kuperman-lemma
pile,5.79,yes,kuperman
pill,6.06,yes,kuperman
pillow,3.47,yes,kuperman
pin,4.53,yes,kuperman
pine,5.53,yes,kuperman
pink,3.80,yes,kuperman
pins,4.53,yes,kuperman-lemma
pit,6.14,yes,kuperman
pitch,6.42,yes,kuperman
pitches,6.42,yes,kuperman-lemma
pitching,6.42,yes,kuperman-lemma
place,4.95,yes,kuperman
plain,7.37,yes,kuperman
plan,6.78,yes,kuperman
plate,3.84,yes,kuperman
play,4.10,yes,kuperman
plum,5.50,yes,kuperman
plus,6.37,no,kuperman
pod,7.95,no,kuperman
point,4.55,yes,kuperman
pole,5.63,yes,kuperman
pond,5.16,yes,kuperman
pool,5.15,yes,kuperman
pop,4.48,yes,kuperman
pops,4.48,yes,kuperman-lemma
post,8.11,yes,kuperman
pot,5.95,yes,kuperman
power,7.48,yes,kuperman
preheat,8.89,no,kuperman
proud,5.44,yes,kuperman
puck,7.79,no,kuperman
puff,6.44,yes,kuperman
pull,4.79,yes,kuperman
pulling,4.79,yes,kuperman-lemma
pulls,4.79,yes,kuperman-lemma
pump,6.06,yes,kuperman
pup,5.11,yes,kuperman
puppy,3.28,yes,kuperman
pups,5.11,yes,kuperman-lemma
quacks,5.25,yes,kuperman-lemma
queen,4.42,yes,kuperman
quit,5.26,yes,kuperman
race,6.00,yes,kuperman
rack,6.26,yes,kuperman
rag,5.22,yes,kuperman
rage,8.79,no,kuperman
rags,5.22,yes,kuperman-lemma
rain,3.60,yes,kuperman
raj,,no,estimated:name
rake,5.32,yes,kuperman
ram,8.32,yes,kuperman
ramp,7.28,no,kuperman
ran,4.47,yes,kuperman-lemma
rang,4.53,yes,kuperman-lemma
rash,5.78,no,kuperman
rat,5.11,yes,kuperman
ravi,,no,estimated:name
ray,6.73,yes,kuperman
reach,4.89,yes,kuperman
read,4.11,yes,kuperman
ready,5.53,yes,kuperman
red,3.68,yes,kuperman
redo,7.94,no,kuperman
reg,,no,estimated:name
rest,4.22,yes,kuperman
rested,4.22,yes,kuperman-lemma
resting,4.22,yes,kuperman-lemma
rex,,no,estimated:name
rich,6.32,yes,kuperman
rid,6.79,yes,kuperman
ride,4.67,yes,kuperman
rides,4.67,yes,kuperman-lemma
riding,4.67,yes,kuperman-lemma
rig,8.95,no,kuperman
right,4.35,yes,kuperman
rim,8.05,yes,kuperman
ring,4.53,yes,kuperman
rink,8.69,no,kuperman
rip,6.11,yes,kuperman
road,4.55,yes,kuperman
robot,5.35,no,kuperman
rock,3.22,yes,kuperman
rocks,3.22,yes,kuperman-lemma
rocky,3.22,yes,estimated:inflection
rod,7.42,no,kuperman
rode,4.67,yes,kuperman-lemma
roll,4.47,yes,kuperman
rolls,4.47,yes,kuperman-lemma
ron,,no,estimated:name
roof,5.00,yes,kuperman
room,4.22,yes,kuperman
root,5.94,yes,kuperman
rope,5.44,yes,kuperman
rosa,,no,estimated:name
rose,6.11,yes,kuperman
rot,7.57,yes,kuperman
